dataset,station_id,station_name,province,model,H_star_skill,H_star_evento,H_star_fidelidad,H_star_skill_censored,H_star_evento_censored,H_star_fidelidad_censored,min_n_exceedances_est,n_horizons_available
e1_rr_45153999_10_M,45153999_10_M,San Pablo de los Montes,Toledo,seasonal_naive,0,0.0,7,False,False,True,35.0,7
e1_rr_45153999_10_M,45153999_10_M,San Pablo de los Montes,Toledo,stl_ridge_direct,0,0.0,7,False,False,True,35.0,7
e1_rr_50008001_10_M,50008001_10_M,Alagon,Zaragoza,hgb_direct,7,0.0,0,True,False,False,24.0,7
e1_rr_50008001_10_M,50008001_10_M,Alagon,Zaragoza,ridge_direct,7,0.0,0,True,False,False,24.0,7
e1_rr_50008001_10_M,50008001_10_M,Alagon,Zaragoza,sarima,7,,0,True,False,False,1.0,7
e1_rr_50008001_10_M,50008001_10_M,Alagon,Zaragoza,seasonal_naive,0,0.0,7,False,False,True,24.0,7
e1_rr_50008001_10_M,50008001_10_M,Alagon,Zaragoza,stl_ridge_direct,0,0.0,7,False,False,True,24.0,7
e1_rr_daily,03014002_10_M,Elx-Agroalimentari,Alicante,hgb_direct,7,0.0,0,True,False,False,25.0,7
e1_rr_daily,03014002_10_M,Elx-Agroalimentari,Alicante,ridge_direct,7,0.0,0,True,False,False,25.0,7
e1_rr_daily,03014002_10_M,Elx-Agroalimentari,Alicante,sarima,0,,0,False,False,False,0.0,7
e1_rr_daily,03014002_10_M,Elx-Agroalimentari,Alicante,seasonal_naive,0,0.0,7,False,False,True,25.0,7
e1_rr_daily,03014002_10_M,Elx-Agroalimentari,Alicante,stl_ridge_direct,0,0.0,7,False,False,True,25.0,7
e1_rr_valencia_vivers,46250043_10_M,Valencia-Vivers,Valencia,hgb_direct,7,0.0,0,True,False,False,21.0,7
e1_rr_valencia_vivers,46250043_10_M,Valencia-Vivers,Valencia,ridge_direct,7,1.0,0,True,False,False,21.0,7
e1_rr_valencia_vivers,46250043_10_M,Valencia-Vivers,Valencia,sarima,0,,0,False,False,False,1.0,7
e1_rr_valencia_vivers,46250043_10_M,Valencia-Vivers,Valencia,seasonal_naive,0,0.0,7,False,False,True,21.0,7
e1_rr_valencia_vivers,46250043_10_M,Valencia-Vivers,Valencia,stl_ridge_direct,0,0.0,7,False,False,True,21.0,7
e1_rr_zarra_emep,46263999_10_M,Zarra-EMEP,Valencia,hgb_direct,7,0.0,0,True,False,False,21.0,7
e1_rr_zarra_emep,46263999_10_M,Zarra-EMEP,Valencia,ridge_direct,7,0.0,0,True,False,False,21.0,7
e1_rr_zarra_emep,46263999_10_M,Zarra-EMEP,Valencia,sarima,7,,1,True,False,False,0.0,7
e1_rr_zarra_emep,46263999_10_M,Zarra-EMEP,Valencia,seasonal_naive,0,0.0,7,False,False,True,21.0,7
e1_rr_zarra_emep,46263999_10_M,Zarra-EMEP,Valencia,stl_ridge_direct,0,0.0,7,False,False,True,21.0,7
